,r2,rmse,kendall,spearman,mape,month,source
NAMASIGUE,-35.81432939965344,4.126585800563196,0.37796447300922725,0.4472135954999579,112.92002158322983,1,imerg
SABANA GRANDE,-908.5750672658623,80.86122347993516,-0.05979133361118127,-0.0678549862007235,469.23849475797095,1,imerg
LA LABOR,-1.4590499443052902,45.15592239832188,0.08771929824561403,0.15964912280701754,189.93148292713263,1,imerg
LA MESA,-0.6832161984170553,4749.483856693507,0.3473684210526316,0.5338345864661653,70.97693420029594,1,imerg
POTRERILLOS,-5.515455554482481,222.22147624975202,0.15032679738562094,0.15170278637770898,135.85758987910864,1,imerg
ESQUIAS,-1.0654733915245593,187.94321986607142,0.21456972463472543,0.3237990997888018,102.07152741641698,1,mswep
LA ERMITA,-1.9177457627433738,303.8033614864865,0.22422880689238855,0.3134151407486916,186.47195910445345,1,mswep
SULACO,-77.8066868969279,3578.3279479166663,0.20253177966807523,0.3052619887617925,1393.7693098583961,1,mswep
PLAYITAS,-19.94817272321538,461.48013513513513,-0.04826567963523104,-0.059768754479656336,458.0783308373976,1,mswep
FLORES,-1.6979164107959699,146.22866586538458,0.3315306772533296,0.4612351661541776,288.00803201203405,1,mswep
PITO SOLO,-1.02414459909201,6229.440161830358,0.161589545712571,0.24770767988915096,43.7366523576503,1,mswep
SANTA ELENA,-0.3924335503450642,2128.4794947916666,0.3617521123632709,0.5055629853690842,39.28111787823732,1,mswep
SANTA ROSA DE COPAN,-0.342830499525852,559.12069580625,0.2373316716591687,0.3381021627623058,53.57057975809922,1,mswep
EL NISPERO,-6.957184964565357,1331.113619791667,0.34522462443421914,0.49326955472659906,139.0321137364886,1,mswep
LA UNION,-0.5823939964865428,1155.722171336207,0.17509261152728745,0.26259391749865346,329.6598193974608,1,mswep
SAN JOSE DE LA MONTAÃ‘A,-0.007146965187341925,1639.9831614583336,0.13594506133396805,0.20894526552005724,358.90790345490814,1,mswep
SANTA RITA,-1.7958427499505514,1968.8728305288462,0.07692307692307693,0.11931623931623932,299.82150422313254,1,mswep
LA ENTRADA,-8.298725037225825,1782.1488856907895,0.1767641218781626,0.25236662144485333,138.19822513845196,1,mswep
QUIMISTA,-5.534546261134911,1707.9470271381579,0.18660987594456482,0.26340556078054805,127.36824565050384,1,mswep
LA CEIBA,-0.8416332271201186,96894.59025875003,0.47692307692307695,0.6422138836772984,63.52041759132715,1,mswep
ROATAN,,,,,,1,mswep
TELA,-0.8724109631150705,66127.43482130626,0.3666666666666667,0.5123827392120076,59.82393377478893,1,mswep
BALFATE,-0.7015849834459444,48833.18049818548,0.4408602150537635,0.6076612903225808,57.96916772751298,1,mswep
YORO,-2.981331428891493,4321.607808159722,0.26031746031746034,0.4007722007722008,141.96812488262574,1,mswep
LA ESPERANZA,-12.91459228687037,163.08836653225808,0.1745689655172414,0.26154466626335954,383.78184098448,1,mswep
CAYETANO,-0.20842292760839132,1314.1365198863639,0.22559251840370567,0.31436450347912104,53.796292737441306,1,mswep
EL GUINEO,-1.0266142159197806,6797.853886088711,0.2195910852387945,0.31958866983666945,72.68238136500034,1,mswep
AZACUALPA-PATUCA,-1.2293713344574053,3350.3425878906246,-0.0988900604380319,-0.1598386955663696,177.50072010831423,1,mswep
SANTA MARIA,0.23755365559075603,460.2512864583334,0.4298850574712643,0.5853170189098998,63.53110373849095,1,mswep
CATACAMAS,-5.044289135054253,2570.003851875,0.11930727278001453,0.17036446381141715,252.02042059408166,1,mswep
MANTO,-24.50526155160116,5263.9410156250015,0.20424681826014904,0.3309194257188805,390.2192297604641,1,mswep
EL VIJAO,-0.901498496287179,770.5437642045454,0.18009486763321045,0.2481825027466745,1250.8866650281318,1,mswep
LA LIMA,-1.4382867914300799,610.0459659090909,0.24288425047438328,0.34999164298846736,79.35719963196071,1,mswep
TEGUCIGALPA,-1.8719667070219268,100.18500580625,0.20964669240847125,0.3065446898764901,223.28148099900454,1,mswep
SANTA LUCIA,-1.298527028553254,98.92675435606061,0.3181818181818182,0.4522058823529412,81.76406152602195,1,mswep
LA VENTA,-1.7143710236326917,140.0541724537037,0.1457142857142857,0.21068702290076335,90.55872339505895,1,mswep
GUINOPE,-0.1496195230417312,51.17834037162163,0.14781448457144464,0.21678033293326768,161.01620586696762,1,mswep
SAN ANTONIO DE FLORES,-0.06548254497877948,44.70850260416666,0.21322535504898432,0.3184191892787055,153.36134978995864,1,mswep
SAN LUCAS,-0.6711921478164793,95.81464226973684,-0.10595969327383559,-0.12857589426814126,155.28945696650322,1,mswep
TEXIGUAT,-0.7849782540840706,44.691813322368425,0.22234437992862985,0.28104159909303206,351.97735768969153,1,mswep
AMAPALA,-1.0376872292815813,7.1261177884615385,0.35164561357071755,0.42726258735924083,104.62258281716782,1,mswep
ALIANZA,0.09655189723009272,4.931106085526316,0.2928195306397773,0.34641016151377546,118.10475708502024,1,mswep
CHOLUTECA,0.7208894291750361,11.350971249999999,0.3466860548776972,0.42378279462267354,76.44872903819142,1,mswep
